id,3HSP Source name,BZcat name,R.A.,Dec,NVSS/FIRSTflux density(mJy),X-ray flux d. @ 1keV (μJy),Log(peak flux),γ-ray counterpart,Fermi γ-ray slope,2WHSP name
1,3HSPJ000116.4+293534,,0.31821,29.59278,4.0,,-12.9?,,,2WHSPJ000116.3+293534
2,3HSPJ000117.1-315043,,0.32117,-31.84528,7.2,0.23,-12.3?,,,2WHSPJ000116.9-315043
3,3HSPJ000132.7-415525,,0.38642,-41.92361,13.2,0.34,-11.7,4FGL J0001.6-4156,2.09,2WHSPJ000132.6-415524
4,3HSPJ000158.1-115047,,0.49225,-11.84639,3.3,0.11,-12.5,,,2WHSPJ000158.0-115047
5,3HSPJ000215.2-672653,,0.56329,-67.44806,21.4,0.27,-11.8,4FGL J0002.1-6728,1.95,2WHSPJ000215.1-672653
6,3HSPJ000236.1-081532,,0.65025,-8.25889,29.0,0.19,-12.3,,,2WHSPJ000236.0-081532
7,3HSPJ000319.6-524727,,0.8315,-52.79083,65.3,0.64,-11.9,4FGL J0003.1-5248,1.9,2WHSPJ000319.5-524726
8,3HSPJ000513.7-261438,,1.30717,-26.24389,37.4,,-12.6,,,2WHSPJ000513.6-261438
9,3HSPJ000553.0-284503,,1.47079,-28.75083,5.0,0.07,-12.5,,,2WHSPJ000552.9-284502
10,3HSPJ000626.9+013610,,1.61208,1.60278,7.5,0.12,-12.6,4FGL J0006.4+0135,2.19,2WHSPJ000626.8+013610
11,3HSPJ000701.6+510500,,1.75663,51.08333,4.4,0.15,-12.4,,,2WHSPJ000701.5+510459
14,3HSPJ000949.7-431650,,2.45729,-43.28056,51.0,0.31,-12,4FGL J0009.8-4317,2.1,2WHSPJ000949.6-431650
15,3HSPJ000957.2+134058,,2.48842,13.68278,18.6,0.29,-12.1,,,2WHSPJ000957.1+134058
16,3HSPJ001011.1+334851,,2.54875,33.81417,17.1,0.22,-11.9,,,2WHSPJ001011.7+334851
17,3HSPJ001042.7-130817,,2.67779,-13.13806,2.7,0.06,-12.6,,,2WHSPJ001042.6-130817
18,3HSPJ001253.9-162656,,3.22442,-16.44889,10.1,0.08,-12.3,,,2WHSPJ001253.8-162656
19,3HSPJ001328.1+094930,,3.37,9.825,31.1,0.7,-11.8,1BIGB_J001328.8+094929,2.35,2WHSPJ001328.8+094929
22,3HSPJ001442.1+162126,,3.67533,16.35722,5.7,0.1,-12.8?,,,2WHSPJ001441.9+162125
26,3HSPJ001541.9+121845,,3.92442,12.3125,6.8,0.14,-12.4,,,2WHSPJ001541.8+121845
28,3HSPJ001916.0+053148,,4.81754,5.53,4.0,0.06,-12.9?,,,2WHSPJ001916.1+053148
31,3HSPJ002209.6-670510,,5.53983,-67.08611,,0.12,-12.3?,,,2WHSPJ002209.4-670509
32,3HSPJ002255.0-341347,,5.729,-34.22972,12.2,0.02,-12.5,,,2WHSPJ002254.8-341346
33,3HSPJ002259.0-244022,,5.74596,-24.67278,27.4,,-12.1,,,2WHSPJ002258.9-244022
36,3HSPJ002928.1+205333,,7.36917,20.8925,11.4,,-12.3,4FGL J0029.4+2051,1.46,2WHSPJ002928.6+205332
37,3HSPJ003020.4-164713,,7.58508,-16.78694,9.5,0.13,-11.7,4FGL J0030.2-1647,1.65,2WHSPJ003020.4-164712
