id,RA,DEC,Source name,Redshift,Radio flux d.,Fermi flux,Log nu_peak,Original catalog
2,0.7381666666666667,-0.41305833333333336,5BZBJ0002-0024 ,0.523,178.0,0.0,0.0,5BZCAT
5,0.8305,21.49568888888889,5BZQJ0003+2129 ,0.45,83.0,0.0,0.0,5BZCAT
10,1.02025,-11.816108333333334,5BZBJ0004-1148 ,0.0,459.0,3.2e-12,0.0,5BZCAT
11,1.0672916666666667,46.25502777777778,5BZQJ0004+4615 ,1.81,120.0,0.0,0.0,5BZCAT
12,1.1489583333333333,20.32849722222222,5BZQJ0004+2019 ,0.677,55.0,0.0,0.0,5BZCAT
13,1.1485,-47.60541944444444,5BZQJ0004-4736 ,0.884,909.0,6.51e-12,0.0,5BZCAT
15,1.3247083333333332,-16.801308333333335,5BZQJ0005-1648 ,0.78,263.0,0.0,0.0,5BZCAT
16,1.3342083333333334,5.403027777777778,5BZQJ0005+0524 ,1.9,127.0,0.0,0.0,5BZCAT
18,1.4882499999999999,38.33752777777778,5BZQJ0005+3820 ,0.229,572.0,8.36e-12,0.0,5BZCAT
19,1.5578750000000001,-6.393108333333333,5BZBJ0006-0623 ,0.347,2051.0,1.43e-12,0.0,5BZCAT
20,1.5845,10.864358333333334,5BZGJ0006+1051 ,0.168,12.0,0.0,0.0,5BZCAT
21,1.5822083333333332,-42.75516944444445,5BZQJ0006-4245 ,1.77,246.0,0.0,0.0,5BZCAT
23,1.7032500000000002,24.376808333333333,5BZQJ0006+2422 ,1.684,184.0,0.0,0.0,5BZCAT
25,1.83575,-61.21841944444444,5BZQJ0007-6113 ,0.857,87.0,0.0,0.0,5BZCAT
27,1.9998750000000003,47.20213888888889,5BZBJ0007+4712 ,0.28,60.0,1.83e-11,0.0,5BZCAT
28,2.0015,-23.65493888888889,5BZQJ0008-2339 ,1.412,375.0,2.69e-12,0.0,5BZCAT
31,2.1474166666666665,-23.657688888888888,5BZBJ0008-2339 ,0.147,36.0,2.69e-12,17.0,5BZCAT
32,2.156416666666667,-46.328,5BZQJ0008-4619 ,1.85,109.0,0.0,0.0,5BZCAT
33,2.2662500000000003,6.4726083333333335,5BZBJ0009+0628 ,0.0,247.0,5.13e-12,0.0,5BZCAT
34,2.321,6.4318583333333335,5BZQJ0009+0625 ,2.694,180.0,5.13e-12,0.0,5BZCAT
35,2.3447916666666666,50.50793888888889,5BZBJ0009+5030 ,0.0,12.0,2.58e-11,15.1,5BZCAT
40,2.61975,20.79724722222222,5BZQJ0010+2047 ,0.6,159.0,1.95e-12,0.0,5BZCAT
41,2.6291666666666664,10.97488888888889,5BZQJ0010+1058 ,0.089,98.0,0.0,0.0,5BZCAT
42,2.6415416666666665,17.405277777777776,5BZQJ0010+1724 ,1.601,918.0,0.0,0.0,5BZCAT
43,2.6487499999999997,-30.463169444444443,5BZQJ0010-3027 ,1.19,315.0,4.52e-12,0.0,5BZCAT
45,2.6882499999999996,-29.753669444444444,5BZQJ0010-2945 ,2.344,404.0,0.0,0.0,5BZCAT
47,2.755,-26.20888888888889,5BZQJ0011-2612 ,1.096,210.0,0.0,0.0,5BZCAT
48,2.81125,-36.344277777777776,5BZQJ0011-3620 ,2.324,66.0,0.0,0.0,5BZCAT
50,2.876666666666667,0.9644194444444444,5BZQJ0011+0057 ,1.492,167.0,5.85e-12,0.0,5BZCAT
52,3.141,-16.468669444444444,5BZGJ0012-1628 ,0.151,94.0,0.0,0.0,5BZCAT
53,3.19725,33.89402777777778,5BZQJ0012+3353 ,1.682,81.0,0.0,0.0,5BZCAT
55,3.249458333333333,-39.90716944444444,5BZBJ0012-3954 ,0.0,494.0,4.98e-12,0.0,5BZCAT
56,3.3362499999999997,-15.229777777777779,5BZQJ0013-1513 ,1.838,117.0,0.0,0.0,5BZCAT
59,3.475458333333333,-4.397808333333334,5BZQJ0013-0423 ,1.075,303.0,2.22e-12,0.0,5BZCAT
