id,Source name,R.A.,Dec,Radio flux d.,Fermi flux,Log nu_peak,Redshift,Original catalog
1,3HSPJ000236.0-081532.4,00 02 36.06,-08 15 32.4,29,0,16,0.39,3HSP
2,5BZBJ0002-0024 ,00 02 57.16,-00 24 47.01,178,0,0,0.523,5BZCAT
3,4FGLJ0003.3-5905 ,00 03 13.32,-59 05 47.61,505.9,1.68e-12,0,0,Fermi 4LAC
4,4FGLJ0003.3-1928 ,00 03 18.66,-19 27 22.28,171,2.59e-12,0,0,Fermi 4LAC
5,5BZQJ0003+2129 ,00 03 19.32,+21 29 44.48,83,0,0,0.45,5BZCAT
6,3HSPJ000319.5-524727.4,00 03 19.56,-52 47 27.38,65.3,3.6e-12,16.9,0.37,3HSP
7,4FGLJ0003.2+2207 ,00 03 24.52,+22 04 55.7,8.9,1.73e-12,0,0,Fermi 4LAC
8, 3FGLJ0003.8-1151 ,00 03 42.83,-11 51 49.28,0,3.2e-12,0,0,Fermi 3LAC
9,4FGLJ0004.0+0840 ,00 03 59.22,+08 41 38.11,24.3,2.48e-12,0,0,Fermi 4LAC
10,5BZBJ0004-1148 ,00 04 04.86,-11 48 57.99,459,3.2e-12,0,0,5BZCAT
11,5BZQJ0004+4615 ,00 04 16.15,+46 15 18.1,120,0,0,1.81,5BZCAT
12,5BZQJ0004+2019 ,00 04 35.75,+20 19 42.59,55,0,0,0.677,5BZCAT
13,5BZQJ0004-4736 ,00 04 35.64,-47 36 19.51,909,6.51e-12,0,0.884,5BZCAT
14,3HSPJ000513.7-261438.2,00 05 13.72,-26 14 38.11,37.4,0,15.4,0.32,3HSP
15,5BZQJ0005-1648 ,00 05 17.93,-16 48 04.71,263,0,0,0.78,5BZCAT
16,5BZQJ0005+0524 ,00 05 20.21,+05 24 10.9,127,0,0,1.9,5BZCAT
17,3HSPJ000552.9-284503.9,00 05 52.98,-28 45 03.81,5,0,15.4,0.57,3HSP
18,5BZQJ0005+3820 ,00 05 57.18,+38 20 15.1,572,8.36e-12,0,0.229,5BZCAT
19,5BZBJ0006-0623 ,00 06 13.89,-06 23 35.19,2051,1.43e-12,0,0.347,5BZCAT
20,5BZGJ0006+1051 ,00 06 20.28,+10 51 51.69,12,0,0,0.168,5BZCAT
21,5BZQJ0006-4245 ,00 06 19.73,-42 45 18.61,246,0,0,1.77,5BZCAT
22,3HSPJ000626.9+013610.6,00 06 26.88,+01 36 10.51,7.5,1.97e-12,16.4,0.787,3HSP
23,5BZQJ0006+2422 ,00 06 48.78,+24 22 36.51,184,0,0,1.684,5BZCAT
24,3HSPJ000701.5+510500.2,00 07 01.59,+51 05 00.2,4.4,0,16.1,0.47,3HSP
25,5BZQJ0007-6113 ,00 07 20.58,-61 13 06.31,87,0,0,0.857,5BZCAT
26,4FGLJ0007.7+4008 ,00 07 41.65,+40 08 29.9,10.5,4.1e-12,0,0,Fermi 4LAC
27,5BZBJ0007+4712 ,00 07 59.97,+47 12 07.7,60,1.83e-11,0,0.28,5BZCAT
28,5BZQJ0008-2339 ,00 08 00.36,-23 39 17.78,375,2.69e-12,0,1.412,5BZCAT
29,4FGLJ0008.0-3937 ,00 08 09.19,-39 45 22.89,134.2,1.37e-12,0,0,Fermi 4LAC
30,4FGLJ0008.4+1455 ,00 08 25.39,+14 56 35.7,37,3.75e-12,0,0,Fermi 4LAC
