# RA = 06 33 38.84 (98.411817)
# Dec = +17 59 33.06 (17.992515)
# Redshift = 0.0
# nH = 3.46E21 cm^-2 
# Given the input coordinates, data have been retrieved from 32 out of 190 selected catalogues

# GB6 (id = 1)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8500E09     0.0000E00    2.4250E-15   2.9100E-16    46735.5    47069.5

# NVSS (id = 2)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4000E09     0.0000E00    6.7987E-16   2.1183E-17    49231.5    50508.5

# allwise w1 (id = 3)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.8170E13     0.0000E00    3.2035E-13   1.2743E-14    55277.29213036    55472.20022132

# allwise w2 (id = 4)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.5170E13     0.0000E00    4.8239E-13   2.0845E-14    55280.53402737    55472.20022132

# allwise w3 (id = 5)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4980E13     0.0000E00    5.1512E-13   7.6304E-14    55277.29213036    55277.55686576

# allwise w4 (id = 6)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3630E13 0.0 8.5159E-13   0.0000E00    55277.29213036    55280.53402737 ; UPPER LIMIT

# WISE W1 PointPsf (id = 7)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.8170E13     0.0000E00    3.0425E-13   1.2623E-14    55277.29213036    55280.53402737

# WISE W2 PointPsf (id = 8)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.5170E13     0.0000E00    4.4156E-13   2.3719E-14    55277.29213036    55280.53402737

# WISE W3 PointPsf (id = 9)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4980E13     0.0000E00    4.7677E-13   6.3637E-14    55277.29213036    55277.55686576

# WISE W4 PointPsf (id = 10)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3630E13     0.0000E00    4.7275E-13   1.7452E-13    55277.29213036    55280.40172128

# XMM3DR5 (0.5-1 keV) (id = 11)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.6930E17     0.0000E00    2.0142E-14   1.2084E-14    54361.357211    54361.618484
1.6930E17     0.0000E00    9.4558E-15   4.1289E-15    52368.69897    52369.889086
1.6930E17     0.0000E00    2.0748E-14   9.5478E-15    54170.478843    54170.758576
1.6930E17     0.0000E00    9.5053E-15   5.6019E-15    53811.211539    53811.612824
1.6930E17     0.0000E00    7.5163E-15   6.5138E-15    53077.622211    53077.922731
1.6930E17     0.0000E00    1.1333E-14   9.1401E-15    54742.560104    54742.802245

# XMM3DR5 (1-2 keV) (id = 12)
