# RA = 07 29 17.82 (112.32424)
# Dec = -13 20 02.27 (-13.333964)
# Redshift = 0.0
# nH = 3.77E21 cm^-2 
# Given the input coordinates, data have been retrieved from 27 out of 190 selected catalogues

# AT20GCAT ( flux 20 GHz) (id = 1)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.0000E10     0.0000E00    2.9200E-14   1.4000E-15 0.0   0.0

# NVSS (id = 2)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4000E09     0.0000E00    1.3994E-15   4.2365E-17    49231.5    50508.5

# PMN (id = 3)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8500E09     0.0000E00    7.2265E-15   6.3050E-16    48043.5    48196.5

# DENIS_3_i (id = 4)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.7900E14     0.0000E00    9.8087E-11   1.8068E-12    50517.04456    50517.04456
3.7900E14     0.0000E00    2.7290E-12   1.5081E-13    50517.04456    50517.04456

# DENIS_3_j (id = 5)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4410E14     0.0000E00    6.0365E-11   3.3359E-12    50517.04456    50517.04456
2.4410E14     0.0000E00    3.9736E-12   4.7578E-13    50517.04456    50517.04456

# DENIS_3_k (id = 6)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3980E14     0.0000E00    1.6711E-11   1.5160E-12    50517.04456    50517.04456
1.3980E14     0.0000E00    3.1990E-12   7.2552E-13    50517.04456    50517.04456

# allwise w1 (id = 7)
