# RA = 09 16 09.37 (139.039026)
# Dec = -62 19 29.56 (-62.324878)
# Redshift = 0.0
# nH = 1.58E21 cm^-2 
# Given the input coordinates, data have been retrieved from 55 out of 190 selected catalogues

# AKARIBSC 065 (id = 1)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.6120E12     0.0000E00    8.5353E-11   1.0747E-11    53856.5    54338.5

# AKARIBSC 090 (id = 2)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.3310E12     0.0000E00    5.7797E-11   1.5944E-12    53856.5    54338.5

# AKARIBSC 140 (id = 3)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.1410E12     0.0000E00    3.8856E-11   2.1414E-11    53856.5    54338.5

# AKARIBSC 160 (id = 4)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.8740E12     0.0000E00    3.4739E-11   6.1566E-12    53856.5    54338.5

# AKARIPSC 09 (id = 5)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.3310E13     0.0000E00    1.3546E-10   2.2747E-12    53856.5    54338.5

# AKARIPSC 18 (id = 6)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.6660E13     0.0000E00    1.3188E-10   2.8548E-12    53856.5    54338.5

# DENIS_3_i (id = 7)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.7900E14     0.0000E00    7.7555E-11   2.1429E-12    50954.17929    50954.17929

# DENIS_3_j (id = 8)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4410E14     0.0000E00    8.9286E-11   4.9341E-12    50954.17929    50954.17929

# DENIS_3_k (id = 9)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3980E14     0.0000E00    1.6137E-10   1.0247E-11    50954.17929    50954.17929

