# RA = 07 47 05.00 (116.770833)
# Dec = -67 44 40.30 (-67.744528)
# Redshift = 0.0
# nH = 1.01E21 cm^-2 
# Given the input coordinates, data have been retrieved from 24 out of 190 selected catalogues

# PMN (id = 1)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8500E09     0.0000E00    1.3095E-15   3.3950E-16    48043.5    48196.5

# SUMSS (id = 2)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.4300E08     0.0000E00    2.3351E-16   1.7703E-17    50600.5    52974.5

# DENIS_3_i (id = 3)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.7900E14     0.0000E00    7.9875E-13   1.1771E-13    50106.184861    50106.184861
3.7900E14     0.0000E00    9.6919E-13   1.2497E-13    51011.090019    51011.090019

# WISE W1 PointPsf (id = 4)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.8170E13     0.0000E00    1.3342E-13   5.4212E-15    55203.10262253    55384.57817888

# WISE W2 PointPsf (id = 5)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.5170E13     0.0000E00    1.2456E-13   6.2516E-15    55203.10262253    55384.57817888

# WISE W3 PointPsf (id = 6)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4980E13     0.0000E00    5.0526E-14   1.3749E-14    55203.10262253    55384.57817888

# WISE W4 PointPsf (id = 7)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3630E13 0.0 2.0846E-13   0.0000E00    55203.10262253    55384.57817888 ; UPPER LIMIT

# UVOTSSC u (id = 8)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.5630E14     0.0000E00    1.2429E-13   1.1286E-14    55043.23287    55043.23287
8.5630E14     0.0000E00    5.9296E-13   2.3559E-14    55015.784769    55015.784769
8.5630E14     0.0000E00    3.7486E-13   7.9377E-15    55267.365035    55267.365035
8.5630E14     0.0000E00    3.1565E-13   2.1893E-14    55068.195567    55068.195567
8.5630E14     0.0000E00    4.5512E-13   9.0928E-15    55239.010359    55239.010359
8.5630E14     0.0000E00    4.2071E-13   1.7025E-14    55432.068322    55432.068322
8.5630E14     0.0000E00    3.5454E-13   1.8286E-14    55112.501632    55112.501632

# UVOTSSC uvw1 (id = 9)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.1570E15     0.0000E00    3.6948E-13   1.8984E-14    54847.25375    54847.25375
1.1570E15     0.0000E00    4.9108E-13   1.8556E-14    54805.024282    54805.024282
1.1570E15     0.0000E00    5.8382E-13   2.1839E-14    55000.07    55000.07
1.1570E15     0.0000E00    5.3699E-13   1.6910E-14    54987.280231    54987.280231
1.1570E15     0.0000E00    3.9406E-13   1.8572E-14    54841.578414    54841.578414
1.1570E15     0.0000E00    5.3705E-13   1.9737E-14    54772.040359    54772.040359
1.1570E15     0.0000E00    4.0167E-13   9.7736E-15    55015.784769    55015.784769
1.1570E15     0.0000E00    3.7317E-13   1.4248E-14    55267.365035    55267.365035
1.1570E15     0.0000E00    5.0702E-13   2.0236E-14    54965.04566    54965.04566
1.1570E15     0.0000E00    5.1237E-13   1.7652E-14    55008.032222    55008.032222
1.1570E15     0.0000E00    4.4649E-13   1.3973E-14    54861.0336    54861.0336
1.1570E15     0.0000E00    3.3331E-13   1.5206E-14    54993.033738    54993.033738
1.1570E15     0.0000E00    5.2459E-13   2.7736E-14    55030.39309    55030.39309
1.1570E15     0.0000E00    4.9049E-13   1.6472E-14    54891.845394    54891.845394
1.1570E15     0.0000E00    4.8692E-13   1.5022E-14    54900.526308    54900.526308
1.1570E15     0.0000E00    4.1804E-13   2.7187E-14    54854.556979    54854.556979
1.1570E15     0.0000E00    3.7047E-13   1.5013E-14    55111.031563    55111.031563
1.1570E15     0.0000E00    3.9976E-13   1.3929E-14    54906.012407    54906.012407
1.1570E15     0.0000E00    6.1645E-13   2.2700E-14    54798.940856    54798.940856
1.1570E15     0.0000E00    7.3155E-13   4.1236E-14    54768.361111    54768.361111
1.1570E15     0.0000E00    4.8708E-13   1.8227E-14    54979.657361    54979.657361
1.1570E15     0.0000E00    5.5034E-13   1.8852E-14    54875.644225    54875.644225
1.1570E15     0.0000E00    4.8913E-13   8.2280E-15    55239.010359    55239.010359
1.1570E15     0.0000E00    5.0268E-13   1.7179E-14    54882.198796    54882.198796
1.1570E15     0.0000E00    4.4233E-13   2.0278E-14    54937.347812    54937.347812
1.1570E15     0.0000E00    5.8309E-13   1.7851E-14    54958.019329    54958.019329
1.1570E15     0.0000E00    3.9368E-13   1.2905E-14    54944.104225    54944.104225
1.1570E15     0.0000E00    5.4198E-13   1.9173E-14    54930.198461    54930.198461
1.1570E15     0.0000E00    5.2878E-13   1.4927E-14    54885.484005    54885.484005

# UVOTSSC uvm2 (id = 10)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3450E15     0.0000E00    5.2811E-13   2.1348E-14    54805.024282    54805.024282
1.3450E15     0.0000E00    5.9438E-13   2.8165E-14    54769.422917    54769.422917
1.3450E15     0.0000E00    6.9224E-13   2.2725E-14    55000.07    55000.07
1.3450E15     0.0000E00    6.6518E-13   8.8547E-15    55186.207211    55186.207211
1.3450E15     0.0000E00    6.5128E-13   1.9405E-14    54987.280231    54987.280231
1.3450E15     0.0000E00    7.0581E-13   2.4035E-14    54841.578414    54841.578414
1.3450E15     0.0000E00    6.5426E-13   2.0180E-14    54772.040359    54772.040359
1.3450E15     0.0000E00    4.3678E-13   6.0581E-15    55206.01728    55206.01728
1.3450E15     0.0000E00    8.6109E-13   2.3537E-14    54965.04566    54965.04566
1.3450E15     0.0000E00    6.1766E-13   1.5619E-14    55008.032222    55008.032222
1.3450E15     0.0000E00    6.0887E-13   1.8921E-14    54861.0336    54861.0336
1.3450E15     0.0000E00    4.1847E-13   1.6739E-14    54993.033738    54993.033738
1.3450E15     0.0000E00    4.4230E-13   9.3430E-15    55030.39309    55030.39309
1.3450E15     0.0000E00    6.2895E-13   1.9497E-14    54891.845394    54891.845394
1.3450E15     0.0000E00    5.8739E-13   1.7689E-14    54900.526308    54900.526308
1.3450E15     0.0000E00    7.6748E-13   3.9577E-14    54854.556979    54854.556979
1.3450E15     0.0000E00    5.3844E-13   1.6612E-14    54906.012407    54906.012407
1.3450E15     0.0000E00    6.6286E-13   2.5387E-14    54798.940856    54798.940856
1.3450E15     0.0000E00    5.9442E-13   3.0181E-14    54768.361111    54768.361111
1.3450E15     0.0000E00    6.7852E-13   2.1200E-14    54979.657361    54979.657361
1.3450E15     0.0000E00    6.4226E-13   2.1804E-14    54875.644225    54875.644225
1.3450E15     0.0000E00    6.8396E-13   1.9944E-14    54882.198796    54882.198796
1.3450E15     0.0000E00    3.7882E-13   6.0875E-15    55058.295313    55058.295313
1.3450E15     0.0000E00    6.2924E-13   2.2238E-14    54937.347812    54937.347812
1.3450E15     0.0000E00    5.5563E-13   1.7285E-14    54958.019329    54958.019329
1.3450E15     0.0000E00    5.2510E-13   1.6411E-14    54944.104225    54944.104225
1.3450E15     0.0000E00    6.0920E-13   1.9676E-14    54930.198461    54930.198461
1.3450E15     0.0000E00    6.2945E-13   1.7109E-14    54885.484005    54885.484005

# UVOTSSC uvw2 (id = 11)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4750E15     0.0000E00    4.7148E-13   1.6520E-14    54805.024282    54805.024282
1.4750E15     0.0000E00    3.1800E-13   2.4748E-14    54769.422917    54769.422917
1.4750E15     0.0000E00    5.9550E-13   1.8510E-14    55000.07    55000.07
1.4750E15     0.0000E00    5.5628E-13   1.5347E-14    54987.280231    54987.280231
1.4750E15     0.0000E00    3.2386E-13   1.3382E-14    54841.578414    54841.578414
1.4750E15     0.0000E00    5.6243E-13   1.5954E-14    54772.040359    54772.040359
1.4750E15     0.0000E00    5.8648E-13   1.7294E-14    54965.04566    54965.04566
1.4750E15     0.0000E00    4.4937E-13   1.1103E-14    55008.032222    55008.032222
1.4750E15     0.0000E00    3.8332E-13   6.5126E-15    55037.479572    55037.479572
1.4750E15     0.0000E00    4.5638E-13   1.3266E-14    54861.0336    54861.0336
1.4750E15     0.0000E00    2.0546E-13   4.2360E-15    55369.434722    55369.434722
1.4750E15     0.0000E00    5.1079E-13   1.6216E-14    54891.845394    54891.845394
1.4750E15     0.0000E00    4.9225E-13   1.2799E-14    54900.526308    54900.526308
1.4750E15     0.0000E00    4.6784E-13   1.9214E-14    54854.556979    54854.556979
1.4750E15     0.0000E00    5.3117E-13   1.6406E-14    54906.012407    54906.012407
1.4750E15     0.0000E00    3.5828E-13   5.5999E-15    55069.128924    55069.128924
1.4750E15     0.0000E00    3.5113E-13   2.2173E-14    54791.988275    54791.988275
1.4750E15     0.0000E00    5.4020E-13   1.8900E-14    54798.940856    54798.940856
1.4750E15     0.0000E00    2.5448E-13   1.7683E-14    54768.361111    54768.361111
1.4750E15     0.0000E00    6.7490E-13   1.8036E-14    54979.657361    54979.657361
1.4750E15     0.0000E00    5.4443E-13   1.5807E-14    54875.644225    54875.644225
1.4750E15     0.0000E00    6.0660E-13   1.7576E-14    54882.198796    54882.198796
1.4750E15     0.0000E00    5.0954E-13   6.6670E-15    55317.436713    55317.436713
1.4750E15     0.0000E00    4.2682E-13   1.5851E-14    54937.347812    54937.347812
1.4750E15     0.0000E00    3.6077E-13   9.9232E-15    55113.650174    55113.650174
1.4750E15     0.0000E00    4.7860E-13   1.5234E-14    54958.019329    54958.019329
1.4750E15     0.0000E00    5.0868E-13   1.3652E-14    54944.104225    54944.104225
1.4750E15     0.0000E00    4.6761E-13   1.4370E-14    54930.198461    54930.198461
1.4750E15     0.0000E00    5.7826E-13   1.3620E-14    54885.484005    54885.484005

# WGACAT2 (id = 12)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E17     0.0000E00    3.4121E-14   1.0873E-14    48365.498391    48366.396065
2.4200E17     0.0000E00    5.7717E-14   1.9663E-14    49110.729942    49114.728785
2.4200E17     0.0000E00    7.5067E-14   1.3880E-14    48571.111215    48571.502639

# 1SWXRT (0.1-10 keV) (id = 13)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8360E17     0.0000E00    4.5693E-14   1.1873E-14    55735.095613    55735.843021
4.8360E17     0.0000E00    3.7777E-14   1.1993E-14    55430.991736    55431.275498
4.8360E17     0.0000E00    4.2934E-14   9.3544E-15    55058.295313    55058.974965
4.8360E17     0.0000E00    5.4328E-14   1.9189E-14    54937.347801    54937.68816
4.8360E17     0.0000E00    1.3718E-14   3.7515E-15    55317.436713    55317.973565
4.8360E17     0.0000E00    1.8589E-14   6.2363E-15    55267.365046    55268.977755
4.8360E17     0.0000E00    3.7353E-14   8.5748E-15    55043.23287    55044.18191
4.8360E17     0.0000E00    2.7823E-14   1.0674E-14    54906.012396    54906.227755
4.8360E17     0.0000E00    4.8211E-14   1.4391E-14    54891.845382    54892.249248
4.8360E17     0.0000E00    2.9263E-14   8.6349E-15    55369.434722    55369.976343
4.8360E17     0.0000E00    2.6984E-14   7.1957E-15    55490.008912    55490.954826
4.8360E17     0.0000E00    5.5407E-14   1.7989E-14    54965.04566    54965.987465
4.8360E17     0.0000E00    3.0102E-14   7.6754E-15    55239.01037    55240.831204
4.8360E17     0.0000E00    2.7943E-14   8.3950E-15    55206.017292    55206.611748
4.8360E17     0.0000E00    4.7732E-14   1.4391E-14    54820.761944    54820.911759
4.8360E17     0.0000E00    4.2814E-14   8.6349E-15    55614.476806    55614.893715
4.8360E17     0.0000E00    3.2381E-14   1.1873E-14    54882.198785    54882.410382
4.8360E17     0.0000E00    4.3294E-14   1.1993E-14    55008.032211    55008.974977
4.8360E17     0.0000E00    5.3488E-14   1.6790E-14    54769.422894    54769.761076
4.8360E17     0.0000E00    2.4945E-14   9.8341E-15    55554.79853    55555.018009
4.8360E17     0.0000E00    2.6504E-14   8.0352E-15    55186.207211    55186.956215
4.8360E17     0.0000E00    2.9263E-14   1.0913E-14    55030.39309    55030.999942
4.8360E17     0.0000E00    4.1735E-14   1.5591E-14    54805.024259    54805.567326
4.8360E17     0.0000E00    3.8497E-14   1.1993E-14    55037.47956    55037.965926
4.8360E17     0.0000E00    3.1781E-14   9.3544E-15    55069.128924    55069.877731
4.8360E17     0.0000E00    4.2095E-14   1.3192E-14    54958.019317    54958.363148
4.8360E17     0.0000E00    3.1781E-14   1.0554E-14    54885.483993    54885.832593
4.8360E17     0.0000E00    3.4060E-14   1.1993E-14    54847.253738    54847.467315
4.8360E17     0.0000E00    4.1495E-14   1.3192E-14    54772.040324    54772.849965
4.8360E17     0.0000E00    4.3174E-14   1.4391E-14    54875.644213    54875.797176

# 1SWXRT (0.1-2.4 keV) (id = 14)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4180E17     0.0000E00    3.7057E-14   1.2263E-14    55430.991736    55431.275498
2.4180E17     0.0000E00    4.5142E-14   9.9718E-15    55058.295313    55058.974965
2.4180E17     0.0000E00    9.3565E-15   3.0463E-15    55317.436713    55317.973565
2.4180E17     0.0000E00    2.0483E-14   6.7377E-15    55267.365046    55268.977755
2.4180E17     0.0000E00    3.2550E-14   8.5378E-15    55043.23287    55044.18191
2.4180E17     0.0000E00    4.8242E-14   1.6170E-14    54891.845382    54892.249248
2.4180E17     0.0000E00    2.7220E-14   7.5462E-15    55490.008912    55490.954826
2.4180E17     0.0000E00    5.4845E-14   1.8866E-14    54965.04566    54965.987465
2.4180E17     0.0000E00    3.0050E-14   7.6810E-15    55239.01037    55240.831204
2.4180E17     0.0000E00    2.2504E-14   7.8157E-15    55206.017292    55206.611748
2.4180E17     0.0000E00    3.6922E-14   1.3475E-14    54987.280231    54987.497176
2.4180E17     0.0000E00    4.5142E-14   1.4823E-14    54820.761944    54820.911759
2.4180E17     0.0000E00    4.5951E-14   9.5675E-15    55614.476806    55614.893715
2.4180E17     0.0000E00    3.9752E-14   1.2128E-14    55008.032211    55008.974977
2.4180E17     0.0000E00    5.2823E-14   1.7518E-14    54769.422894    54769.761076
2.4180E17     0.0000E00    2.1426E-14   7.5462E-15    55186.207211    55186.956215
2.4180E17     0.0000E00    4.0291E-14   1.3341E-14    55037.47956    55037.965926
2.4180E17     0.0000E00    2.8703E-14   9.1632E-15    55069.128924    55069.877731
2.4180E17     0.0000E00    4.1908E-14   1.3341E-14    54958.019317    54958.363148
2.4180E17     0.0000E00    3.1937E-14   1.2802E-14    54847.253738    54847.467315
2.4180E17     0.0000E00    3.5171E-14   1.2532E-14    54772.040324    54772.849965
2.4180E17     0.0000E00    3.7461E-14   1.3475E-14    54875.644213    54875.797176

# 1SWXRT (2-10 keV) (id = 15)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.0810E18     0.0000E00    1.2305E-13   3.9810E-14    55735.095613    55735.843021
1.0810E18     0.0000E00    1.1798E-13   3.3956E-14    55317.436713    55317.973565
1.0810E18     0.0000E00    6.2395E-14   2.2689E-14    55043.23287    55044.18191

# 1SXPS(0.3-1keV) (id = 16)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3250E17     0.0000E00    2.6906E-14   3.0054E-15    53355.908183    55735.84287

# 1SXPS(0.3—10 keV) (id = 17)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.1880E17     0.0000E00    3.6202E-14   1.9814E-15    53355.908183    55735.84287

# 1SXPS(1-2keV) (id = 18)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.4190E17     0.0000E00    3.4530E-14   2.9036E-15    53355.908183    55735.84287

# 1SXPS(2—10 keV) (id = 19)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.0810E18     0.0000E00    4.6545E-14   4.3948E-15    53355.908183    55735.84287

# XMM3DR5 (0.2-0.5 keV) (id = 20)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.2540E16     0.0000E00    2.6616E-14   8.7420E-15    51943.758704    51943.814259
7.2540E16     0.0000E00    2.7062E-14   9.4812E-15    51596.634063    51596.682095
7.2540E16     0.0000E00    3.2522E-14   2.0962E-14    51944.461933    51944.496655
7.2540E16     0.0000E00    4.9982E-14   6.7583E-15    52903.56397    52904.612604
7.2540E16     0.0000E00    5.0745E-14   2.3231E-14    51595.411192    51595.432037
7.2540E16     0.0000E00    3.6709E-14   1.8398E-14    51595.502928    51595.523762
7.2540E16     0.0000E00    4.4293E-14   1.4572E-14    51944.355984    51944.390694
7.2540E16     0.0000E00    3.0189E-14   1.0621E-14    51944.192292    51944.227002
7.2540E16     0.0000E00    5.0182E-14   6.1246E-15    51608.859572    51609.143981
7.2540E16     0.0000E00    4.2833E-14   6.3272E-15    51655.165775    51655.377708
7.2540E16     0.0000E00    3.5258E-14   3.4992E-15    51601.32956    51601.9261
7.2540E16     0.0000E00    2.8230E-14   4.5677E-15    51597.487627    51597.881632
7.2540E16     0.0000E00    4.3448E-14   1.4717E-14    51944.086343    51944.121065
7.2540E16     0.0000E00    3.4219E-14   9.3998E-15    52907.724664    52908.578981
7.2540E16     0.0000E00    3.9891E-14   8.2948E-15    52901.563067    52902.584167
7.2540E16     0.0000E00    5.7536E-14   4.7152E-15    54908.081505    54908.566586
7.2540E16     0.0000E00    4.2832E-14   8.3724E-15    52933.414155    52934.048507
7.2540E16     0.0000E00    2.3942E-14   1.4411E-14    51595.711111    51595.731933
7.2540E16     0.0000E00    5.0380E-14   8.8931E-15    52937.801134    52938.526134
7.2540E16     0.0000E00    4.2030E-14   3.3162E-15    55364.231169    55364.562569
7.2540E16     0.0000E00    6.6162E-14   2.3889E-14    51595.814479    51595.835312
7.2540E16     0.0000E00    4.1071E-14   6.3335E-15    52955.345845    52956.393171
7.2540E16     0.0000E00    2.9924E-14   4.1767E-15    55013.262859    55014.42066
7.2540E16     0.0000E00    4.8000E-14   1.2803E-14    53487.557697    53487.609699
7.2540E16     0.0000E00    4.5941E-14   7.1233E-15    52905.441794    52906.65735
7.2540E16     0.0000E00    6.1594E-14   5.8767E-15    54776.370255    54776.693565
7.2540E16     0.0000E00    6.1475E-14   2.1991E-14    52195.01338    52195.106424
7.2540E16     0.0000E00    8.6196E-14   3.0910E-14    52195.248287    52195.320498

# XMM3DR5 (0.5-1 keV) (id = 21)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.6930E17     0.0000E00    2.6141E-14   4.5664E-15    51943.758704    51943.814259
1.6930E17     0.0000E00    2.6518E-14   3.9890E-15    51596.634063    51596.682095
1.6930E17     0.0000E00    3.1026E-14   9.5169E-15    51944.461933    51944.496655
1.6930E17     0.0000E00    3.3794E-14   2.6088E-15    52903.56397    52904.612604
1.6930E17     0.0000E00    3.3460E-14   1.0010E-14    51595.411192    51595.432037
1.6930E17     0.0000E00    2.4856E-14   7.1639E-15    51595.502928    51595.523762
1.6930E17     0.0000E00    3.2264E-14   6.2348E-15    51944.355984    51944.390694
1.6930E17     0.0000E00    2.5152E-14   5.8112E-15    51944.192292    51944.227002
