# RA = 19 31 09.61 (292.790042)
# Dec = +09 37 17.50 (9.621528)
# Redshift = 0.0
# nH = 3.12E21 cm^-2 
# Given the input coordinates, data have been retrieved from 40 out of 190 selected catalogues

# NIEPPOCAT (id = 1)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.7000E10 0.0 5.9200E-14   0.0000E00    52871.799000000115    52871.81520370312 ; UPPER LIMIT
3.7000E10 0.0 1.3320E-13   0.0000E00    53005.382000000216    53005.39820370322 ; UPPER LIMIT
3.7000E10 0.0 7.4000E-14   0.0000E00    53237.83799999999    53237.85420370299 ; UPPER LIMIT
3.7000E10 0.0 1.0360E-13   0.0000E00    52768.96499999985    52768.98120370285 ; UPPER LIMIT
3.7000E10 0.0 1.4800E-13   0.0000E00    52257.53099999996    52257.54720370296 ; UPPER LIMIT
3.7000E10 0.0 1.1840E-13   0.0000E00    52273.48600000003    52273.502203703036 ; UPPER LIMIT
3.7000E10 0.0 8.8800E-14   0.0000E00    52567.7370000002    52567.7532037032 ; UPPER LIMIT
3.7000E10 0.0 7.4000E-14   0.0000E00    53366.46900000004    53366.48520370304 ; UPPER LIMIT
3.7000E10 0.0 2.6640E-13   0.0000E00    53282.69900000002    53282.715203703025 ; UPPER LIMIT
3.7000E10 0.0 2.9600E-13   0.0000E00    53242.84400000004    53242.86020370304 ; UPPER LIMIT
3.7000E10 0.0 7.4000E-14   0.0000E00    53238.83999999985    53238.85620370285 ; UPPER LIMIT
3.7000E10 0.0 8.8800E-14   0.0000E00    53240.85699999984    53240.873203702846 ; UPPER LIMIT
3.7000E10 0.0 7.4000E-14   0.0000E00    53239.85800000001    53239.87420370301 ; UPPER LIMIT

# NVSS (id = 2)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4000E09     0.0000E00    2.6673E-16   1.0050E-17    49231.5    50508.5

# allwise w1 (id = 3)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.8170E13     0.0000E00    6.7426E-12   1.7501E-13    55302.52707603    55485.86165792

# allwise w2 (id = 4)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.5170E13     0.0000E00    4.5645E-12   1.0843E-13    55302.52707603    55485.86165792

# allwise w3 (id = 5)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4980E13     0.0000E00    1.3725E-12   4.7663E-14    55302.52707603    55304.04863802

# allwise w4 (id = 6)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3630E13     0.0000E00    1.1175E-12   1.3151E-13    55302.52707603    55304.04863802

# UVOTSSC v (id = 7)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
5.5500E14     0.0000E00    2.9208E-11   2.1905E-13    55173.046771    55173.046771
5.5500E14     0.0000E00    2.8090E-11   4.8121E-13    55134.503715    55134.503715
5.5500E14     0.0000E00    2.5934E-11   2.6373E-13    54894.41463    54894.41463
5.5500E14     0.0000E00    3.4012E-11   3.0314E-13    54894.41463    54894.41463
5.5500E14     0.0000E00    4.6441E-11   6.3430E-13    55134.503715    55134.503715
5.5500E14     0.0000E00    3.9286E-11   2.5145E-13    55173.046771    55173.046771

# UVOTSSC b (id = 8)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.9250E14     0.0000E00    2.8880E-11   1.1818E-13    55173.046771    55173.046771
6.9250E14     0.0000E00    2.6403E-11   1.7213E-13    55249.937847    55249.937847
6.9250E14     0.0000E00    2.7387E-11   2.5442E-13    55134.503715    55134.503715
6.9250E14     0.0000E00    2.8886E-11   1.4497E-13    54894.41463    54894.41463
6.9250E14     0.0000E00    2.1250E-11   1.2855E-13    54894.41463    54894.41463
6.9250E14     0.0000E00    2.0461E-11   1.3079E-13    55249.937847    55249.937847
6.9250E14     0.0000E00    2.1649E-11   2.3113E-13    55134.503715    55134.503715
6.9250E14     0.0000E00    2.2158E-11   1.0895E-13    55173.046771    55173.046771

# UVOTSSC u (id = 9)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.5630E14     0.0000E00    1.5506E-11   7.1127E-14    55173.046771    55173.046771
8.5630E14     0.0000E00    1.3583E-11   7.9914E-14    55249.937847    55249.937847
8.5630E14     0.0000E00    8.2883E-12   1.1959E-13    55134.503715    55134.503715
8.5630E14     0.0000E00    1.5444E-11   8.8332E-14    54894.41463    54894.41463

# UVOTSSC uvw1 (id = 10)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.1570E15     0.0000E00    5.6803E-12   2.5562E-14    55173.046771    55173.046771
1.1570E15     0.0000E00    2.2955E-12   1.7379E-14    55173.046771    55173.046771

# UVOTSSC uvw2 (id = 11)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4750E15     0.0000E00    5.8997E-12   1.0781E-14    55173.046771    55173.046771

# RASS (id = 12)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E17     0.0000E00    1.1277E-11   8.5363E-13    47892.5    48257.5

# RXS2CAT (id = 13)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E17     0.0000E00    8.2730E-12   6.4178E-13    48104.0    48499.0

# 1SWXRT (0.1-10 keV) (id = 14)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8360E17     0.0000E00    1.3246E-11   7.9607E-13    55134.503704    55134.509688
4.8360E17     0.0000E00    4.4456E-12   2.7298E-13    55249.937894    55249.955509
4.8360E17     0.0000E00    1.0423E-11   3.1584E-13    55173.046759    55173.5864
4.8360E17     0.0000E00    1.3164E-12   1.3693E-13    54894.414618    54894.492303

# 1SWXRT (0.1-2.4 keV) (id = 15)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4180E17     0.0000E00    2.0249E-11   1.3026E-12    55134.503704    55134.509688
2.4180E17     0.0000E00    7.0069E-12   4.4488E-13    55249.937894    55249.955509
2.4180E17     0.0000E00    1.5507E-11   5.1821E-13    55173.046759    55173.5864
2.4180E17     0.0000E00    2.1910E-12   2.4742E-13    54894.414618    54894.492303

# 1SWXRT (2-10 keV) (id = 16)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.0810E18     0.0000E00    8.1709E-12   8.7546E-13    55134.503704    55134.509688
1.0810E18     0.0000E00    2.5913E-12   2.9521E-13    55249.937894    55249.955509
1.0810E18     0.0000E00    6.3530E-12   3.4273E-13    55173.046759    55173.5864
1.0810E18     0.0000E00    7.8427E-13   1.6254E-13    54894.414618    54894.492303

# 1SXPS(0.3-1keV) (id = 17)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3250E17     0.0000E00    5.6313E-12   3.7416E-13    54894.414641    55249.955312

# 1SXPS(0.3—10 keV) (id = 18)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.1880E17     0.0000E00    6.4636E-12   1.6031E-13    54894.414641    55249.955312

# 1SXPS(1-2keV) (id = 19)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.4190E17     0.0000E00    7.7880E-12   2.6820E-13    54894.414641    55249.955312

# 1SXPS(2—10 keV) (id = 20)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.0810E18     0.0000E00    5.5383E-12   2.4018E-13    54894.414641    55249.955312

# 2FHL (1081GeV) (id = 21)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.6140E26 0.0 1.5717E-11   1.3236E-20    54682.0    57116.0 ; UPPER LIMIT

# 2FHL (316GeV) (id = 22)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.6400E25     0.0000E00    1.3219E-12   9.2463E-13    54682.0    57116.0

# 2FHL (92GeV) (id = 23)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.2240E25     0.0000E00    3.6043E-12   1.0397E-12    54682.0    57116.0

# Fermi1FGL (200 Mev) (id = 24)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E22 0.0 6.8750E-12   0.0000E00    54682.65486    55016.61944 ; UPPER LIMIT

# Fermi1FGL (2Gev) (id = 25)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E23     0.0000E00    2.8696E-12   9.4990E-13    54682.65486    55016.61944

# Fermi1FGL (600 Mev) (id = 26)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E23 0.0 4.0096E-12   0.0000E00    54682.65486    55016.61944 ; UPPER LIMIT

# Fermi1FGL (60Gev) (id = 27)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E25 0.0 2.7621E-12   0.0000E00    54682.65486    55016.61944 ; UPPER LIMIT

# Fermi1FGL (6Gev) (id = 28)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E24     0.0000E00    3.5883E-12   1.0226E-12    54682.65486    55016.61944

# Fermi2FGL (200 Mev) (id = 29)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E22     0.0000E00    1.2897E-11   2.4476E-12    54682.65486    55409.05347

# Fermi2FGL (2Gev) (id = 30)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E23     0.0000E00    3.7402E-12   8.9897E-13    54682.65486    55409.05347

# Fermi2FGL (600 Mev) (id = 31)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E23     0.0000E00    7.1053E-12   1.1312E-12    54682.65486    55409.05347

# Fermi2FGL (60Gev) (id = 32)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E25     0.0000E00    3.1381E-12   8.2118E-13    54682.65486    55409.05347

# Fermi2FGL (6Gev) (id = 33)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E24     0.0000E00    4.0735E-12   7.9169E-13    54682.65486    55409.05347

# Fermi2FglLC (id = 34)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E23     0.0000E00    6.9117E-12   2.3071E-12    54743.4    54773.8
2.4200E23     0.0000E00    7.2820E-12   2.7723E-12    54895.2    54925.6
2.4200E23     0.0000E00    9.1238E-12   2.5539E-12    55047.1    55077.5
2.4200E23     0.0000E00    9.0099E-12   2.9906E-12    55107.8    55138.2
2.4200E23     0.0000E00    1.1013E-11   3.4558E-12    55198.9    55229.3
2.4200E23     0.0000E00    1.1868E-11   3.3419E-12    55259.7    55290.1
2.4200E23     0.0000E00    6.7218E-12   2.7343E-12    55290.1    55320.4
2.4200E23     0.0000E00    1.4716E-11   3.0286E-12    55320.4    55350.8
2.4200E23     0.0000E00    1.2152E-11   3.3894E-12    55350.8    55381.2
2.4200E23     0.0000E00    9.9688E-12   3.3324E-12    55381.2    55409.0

# Fermi3FGL (200 Mev) (id = 35)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E22     0.0000E00    7.1222E-12   1.7275E-12    54682.65486    56139.94861

# Fermi3FGL (2Gev) (id = 36)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E23     0.0000E00    5.5145E-12   6.0456E-13    54682.65486    56139.94861

# Fermi3FGL (600 Mev) (id = 37)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E23     0.0000E00    3.4816E-12   7.3797E-13    54682.65486    56139.94861

# Fermi3FGL (60Gev) (id = 38)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E25     0.0000E00    8.4258E-12   1.2687E-12    54682.65486    56139.94861

# Fermi3FGL (6Gev) (id = 39)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E24     0.0000E00    6.0313E-12   7.1042E-13    54682.65486    56139.94861

# ARGO2LAC (id = 40)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4180E26 0.0 2.5000E-12   0.0000E00    54405.0    56323.0 ; UPPER LIMIT

