# RA = 20 01 12.87 (300.303625)
# Dec = +43 52 52.80 (43.881333)
# Redshift = 0.0
# nH = 3.91E21 cm^-2 
# Given the input coordinates, data have been retrieved from 52 out of 190 selected catalogues

# CLASSSCAT (id = 1)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.4600E09     0.0000E00    1.8181E-14   3.3840E-17    47945.5    47945.5

# GB6 (id = 2)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8500E09     0.0000E00    9.7485E-15   8.7300E-16    46735.5    47069.5

# JVASPOL (id = 3)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8500E09     0.0000E00    1.0631E-14   9.7000E-18 0.0   0.0

# NVSS (id = 4)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4000E09     0.0000E00    1.4598E-15   4.4278E-17    49231.5    50508.5

# allwise w1 (id = 5)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.8170E13     0.0000E00    1.1848E-11   2.9868E-13    55327.79234971    55508.61731443

# allwise w2 (id = 6)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.5170E13     0.0000E00    1.0534E-11   2.5024E-13    55327.79234971    55508.61731443

# allwise w3 (id = 7)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4980E13     0.0000E00    3.7283E-12   9.1282E-14    55327.79234971    55329.57851082

# allwise w4 (id = 8)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3630E13     0.0000E00    3.3654E-12   2.2539E-13    55327.79234971    55329.57851082

# WISE W1 PointPsf (id = 9)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.8170E13     0.0000E00    9.1966E-12   2.3185E-13    55327.79234971    55329.57851082

# WISE W2 PointPsf (id = 10)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.5170E13     0.0000E00    7.7160E-12   1.7785E-13    55327.79234971    55329.57851082

# WISE W3 PointPsf (id = 11)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4980E13     0.0000E00    3.6907E-12   8.7701E-14    55327.79234971    55329.57851082

# WISE W4 PointPsf (id = 12)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3630E13     0.0000E00    3.2496E-12   2.1004E-13    55327.79234971    55329.57851082

# UVOTSSC v (id = 13)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
5.5500E14     0.0000E00    7.8157E-12   7.6086E-14    54852.050856    54852.050856
5.5500E14     0.0000E00    1.4364E-11   2.4956E-13    54852.050856    54852.050856

# UVOTSSC b (id = 14)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.9250E14     0.0000E00    8.9644E-12   6.0110E-14    54852.050856    54852.050856
6.9250E14     0.0000E00    2.0621E-11   8.5223E-14    54852.050856    54852.050856

# UVOTSSC u (id = 15)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.5630E14     0.0000E00    2.4342E-11   5.7383E-14    54852.050856    54852.050856

# UVOTSSC uvw1 (id = 16)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.1570E15     0.0000E00    1.8506E-11   3.5381E-14    55397.046528    55397.046528
1.1570E15     0.0000E00    2.2691E-11   7.6523E-14    55382.992303    55382.992303
1.1570E15     0.0000E00    2.1240E-11   5.2214E-14    55418.048519    55418.048519
1.1570E15     0.0000E00    3.1991E-11   5.7717E-14    55406.816829    55406.816829
1.1570E15     0.0000E00    1.6427E-11   3.6094E-14    55385.047315    55385.047315
1.1570E15     0.0000E00    2.2895E-11   1.5185E-13    55424.062685    55424.062685
1.1570E15     0.0000E00    2.2600E-11   4.3275E-14    55457.192859    55457.192859
1.1570E15     0.0000E00    1.7986E-11   3.9589E-14    55451.851389    55451.851389
1.1570E15     0.0000E00    1.5120E-11   3.4204E-14    55388.802593    55388.802593
1.1570E15     0.0000E00    2.6273E-11   5.7585E-14    55440.59353    55440.59353
1.1570E15     0.0000E00    2.6435E-11   5.0661E-14    55413.023657    55413.023657
1.1570E15     0.0000E00    1.9236E-11   3.7348E-14    54852.050856    54852.050856
1.1570E15     0.0000E00    1.7768E-11   3.7504E-14    55447.089479    55447.089479
1.1570E15     0.0000E00    1.7984E-11   4.5100E-14    55384.043657    55384.043657
1.1570E15     0.0000E00    2.0477E-11   3.8820E-14    55393.030961    55393.030961
1.1570E15     0.0000E00    1.5046E-11   3.1988E-14    55430.217546    55430.217546

# UVOTSSC uvm2 (id = 17)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3450E15     0.0000E00    3.3903E-11   3.0308E-14    55397.046528    55397.046528
1.3450E15     0.0000E00    4.4642E-11   6.7591E-14    55382.992303    55382.992303
1.3450E15     0.0000E00    3.0462E-11   3.2447E-14    55418.048519    55418.048519
1.3450E15     0.0000E00    4.7914E-11   3.8407E-14    55406.816829    55406.816829
1.3450E15     0.0000E00    2.5562E-11   2.9737E-14    55385.047315    55385.047315
1.3450E15     0.0000E00    3.7604E-11   7.5979E-14    55424.062685    55424.062685
1.3450E15     0.0000E00    3.9191E-11   3.5283E-14    55457.192859    55457.192859
1.3450E15     0.0000E00    2.7386E-11   2.8449E-14    55451.851389    55451.851389
1.3450E15     0.0000E00    2.5911E-11   2.4670E-14    55388.802593    55388.802593
1.3450E15     0.0000E00    4.0186E-11   3.8843E-14    55440.59353    55440.59353
1.3450E15     0.0000E00    2.3355E-11   1.2028E-14    54994.292106    54994.292106
1.3450E15     0.0000E00    4.6220E-11   4.3318E-14    55413.023657    55413.023657
1.3450E15     0.0000E00    2.8971E-11   2.4414E-14    54852.050856    54852.050856
1.3450E15     0.0000E00    2.7144E-11   2.8951E-14    55447.089479    55447.089479
1.3450E15     0.0000E00    3.1664E-11   3.4172E-14    55384.043657    55384.043657
1.3450E15     0.0000E00    3.3820E-11   3.0776E-14    55393.030961    55393.030961
1.3450E15     0.0000E00    2.6915E-11   3.0399E-14    55430.217546    55430.217546

# UVOTSSC uvw2 (id = 18)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4750E15     0.0000E00    2.3901E-11   2.3260E-14    55397.046528    55397.046528
1.4750E15     0.0000E00    2.9269E-11   4.2319E-14    55382.992303    55382.992303
1.4750E15     0.0000E00    2.7136E-11   2.7490E-14    55418.048519    55418.048519
1.4750E15     0.0000E00    4.1216E-11   2.9840E-14    55406.816829    55406.816829
1.4750E15     0.0000E00    1.9382E-11   2.3456E-14    55385.047315    55385.047315
1.4750E15     0.0000E00    1.7653E-11   4.7518E-14    55424.062685    55424.062685
1.4750E15     0.0000E00    3.1863E-11   3.1014E-14    55457.192859    55457.192859
1.4750E15     0.0000E00    2.2850E-11   2.5284E-14    55451.851389    55451.851389
1.4750E15     0.0000E00    2.2558E-11   2.1235E-14    55388.802593    55388.802593
