# RA = 22 44 48.09 (341.200375)
# Dec = -00 06 19.50 (-0.105417)
# Redshift = 0.0
# nH = 5.27E20 cm^-2 
# Given the input coordinates, data have been retrieved from 16 out of 190 selected catalogues

# FIRST (id = 1)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4000E09     0.0000E00    7.6020E-17   1.9740E-18    49078.5    49443.5

# NVSS (id = 2)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4000E09     0.0000E00    9.5290E-17   6.5435E-18    49231.5    50508.5

# allwise w1 (id = 3)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.8170E13     0.0000E00    2.8763E-13   1.0226E-14    55348.83833846    55530.56365072

# allwise w2 (id = 4)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.5170E13     0.0000E00    2.0202E-13   1.0317E-14    55348.83833846    55530.56365072

# allwise w4 (id = 5)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3630E13 0.0 3.2050E-13   0.0000E00    55349.10294616    55349.83055397 ; UPPER LIMIT

# WISE W1 PointPsf (id = 6)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.8170E13     0.0000E00    3.1162E-13   1.2130E-14    55348.83833846    55349.83055397

# WISE W2 PointPsf (id = 7)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.5170E13     0.0000E00    2.3735E-13   1.4225E-14    55348.83833846    55349.83055397

# WISE W3 PointPsf (id = 8)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4980E13     0.0000E00    9.9337E-14   3.6262E-14    55349.10294616    55349.6983775

# WISE W4 PointPsf (id = 9)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3630E13 0.0 2.9501E-13   0.0000E00    55349.10294616    55349.83055397 ; UPPER LIMIT

# 1SWXRT (0.1-10 keV) (id = 10)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8360E17     0.0000E00    2.5695E-13   3.7258E-14    55917.127894    55917.339549
4.8360E17     0.0000E00    3.9906E-13   4.0445E-14    54033.555174    54033.699688
4.8360E17     0.0000E00    2.0501E-13   3.8640E-14    55905.638461    55905.973565
4.8360E17     0.0000E00    1.4856E-12   1.6507E-13    54036.64103    54036.917708
4.8360E17     0.0000E00    1.9320E-13   4.1860E-14    55921.144213    55921.286782
4.8360E17     0.0000E00    2.2326E-13   3.0054E-14    55919.002303    55919.145787
4.8360E17     0.0000E00    5.0549E-13   4.5330E-14    55903.434433    55903.648553
4.8360E17     0.0000E00    2.9517E-13   3.5081E-14    55911.243368    55911.454826
4.8360E17     0.0000E00    2.5438E-13   3.4347E-14    55913.048912    55913.927731
4.8360E17     0.0000E00    3.0196E-13   3.9047E-14    55915.121157    55915.999965
4.8360E17     0.0000E00    2.4119E-13   3.1324E-14    55923.010937    55923.158287

# 1SWXRT (0.1-2.4 keV) (id = 11)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4180E17     0.0000E00    3.8635E-13   5.7315E-14    55917.127894    55917.339549
2.4180E17     0.0000E00    5.6279E-13   5.8669E-14    54033.555174    54033.699688
2.4180E17     0.0000E00    2.0079E-13   3.8978E-14    55905.638461    55905.973565
2.4180E17     0.0000E00    3.1692E-12   3.6428E-13    54036.64103    54036.917708
2.4180E17     0.0000E00    1.9725E-13   4.3702E-14    55921.144213    55921.286782
2.4180E17     0.0000E00    2.3387E-13   3.3072E-14    55919.002303    55919.145787
2.4180E17     0.0000E00    7.4109E-13   7.0162E-14    55903.434433    55903.648553
2.4180E17     0.0000E00    4.6582E-13   5.7712E-14    55911.243368    55911.454826
2.4180E17     0.0000E00    2.6694E-13   3.6615E-14    55913.048912    55913.927731
2.4180E17     0.0000E00    4.6570E-13   6.1951E-14    55915.121157    55915.999965
2.4180E17     0.0000E00    3.9453E-13   5.3625E-14    55923.010937    55923.158287

# 1SWXRT (2-10 keV) (id = 12)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.0810E18     0.0000E00    1.3993E-13   4.9681E-14    55917.127894    55917.339549
1.0810E18     0.0000E00    2.2409E-13   5.8313E-14    54033.555174    54033.699688
