,RAJ2000,DEJ2000,Name,Type,Rmag,Bmag,Comment,R,B,z,Qpct,XName,RName,Lobe1,Lobe2
1343,0.2129061,11.2364997,SDSS J000051.09+111411.2 ,QRX ,17.16,17.99,pG ,-,-, 0.865, 99,2RXS J000051.2+111422 ,FIRST J000051.0+111411,VL0J000051.07+111411.6,
1520,0.2408254,29.710146,SDSS J000057.79+294236.4 ,QRX ,20.10,20.11,gG ,-,-, 0.760,100,2RXS J000058.1+294227 ,VL0J000057.78+294236.5,NVSS J000058.1+294237 ,2RXP J000058.5+294234
1787,0.2858889,19.2426945,TEX 2358+189             ,QRX ,20.50,21.19,j  ,1,1, 3.100,100,2SXPS J000108.5+191431,VL0J000108.62+191434.1,NVSS J000108.6+191434 ,
2071,0.3303192,19.4293773,SDSS J000119.28+192545.7 ,QRX ,19.97,20.61,gG ,-,1, 1.253, 98,2SXPS J000119.2+192541,NVSS J000119.2+192548 ,                      ,
2227,0.3534087,8.8904681,SDSS J000124.81+085325.7 ,QRX ,19.13,18.93,jG ,-,-, 1.051, 99,2RXS J000124.9+085320 ,FIRST J000124.8+085325,NVSS J000124.8+085325 ,
2318,0.3690832,-32.1450295,6QZ J000128.6-320843     ,QRX ,16.90,17.20,p+G,-,-, 0.467, 99,2RXP J000128.7-320840 ,VL0J000128.54-320841.3,2RXS J000129.7-320838 ,
2433,0.3867879,14.9355917,SDSS J000132.83+145608.0 ,QRX ,19.26,19.19,gG ,-,-, 0.399, 99,XMMSL J000133.1+145610,VL0J000132.81+145608.7,NVSS J000132.7+145609 ,2RXS J000133.1+145601
5056,0.8045319,27.6791587,SDSS J000313.08+274044.9 ,QRX ,18.43,18.58,gmG,-,-, 2.233,100,2SXPS J000312.9+274044,VL0J000313.07+274045.0,NVSS J000313.1+274045 ,
5456,0.8635237,-1.6449551,SDSS J000327.24-013841.8 ,QRX ,19.78,20.52,gG ,-,-, 1.090, 98,4XMM J000327.2-013842 ,FIRST J000327.2-013841,                      ,
6254,0.9910886,2.0124141,SDSS J000357.86+020044.6 ,QRX ,20.43,20.80,gmG,-,1, 1.111, 99,4XMM J000357.8+020045 ,VL0J000357.86+020044.6,FIRST J000357.8+020044,NVSS J000357.6+020044
6705,1.0671921,46.2549898,3EG J0004+4615           ,QRX ,20.44,20.53,jG ,n,-, 1.810, 98,2SXPS J000416.3+461515,VL0J000416.12+461517.8,NVSS J000416.0+461518 ,
6719,1.0694165,-29.0429542,6QZ J000416.6-290235     ,QRX ,18.22,18.28,pG ,-,-, 0.553,100,2SXPS J000416.6-290232,VL0J000416.64-290233.9,XMMSL J000416.3-290239,2RXS J000416.7-290241
7213,1.1485638,-47.6054443,PKS 0002-478             ,QRX ,15.88,19.28,j+G,-,-, 0.880, 96,2SXPS J000435.5-473619,SUMSS J000435.6-473620,XMMSL J000435.9-473621,
7368,1.1757889,0.0064862,FBQS J0004+0000          ,QRX ,18.94,19.20,gG ,-,-, 1.006,100,4XMM J000442.1+000022 ,FIRST J000442.1+000022,                      ,
